 DlrZipToPmaId | ZipCd | DealerCd1 | DealerCd2 | DealerCd3 
15529|36512|AL029|AL027|MS029
15530|36513|AL029|AL027|MS029
15531|36518|AL029|AL027|MS045
15532|36521|AL029|AL027|MS029
15533|36522|AL029|AL027|MS029
15534|36523|AL029|AL027|MS029
15536|36525|AL029|AL027|MS029
15540|36529|AL029|AL027|MS029
15541|36530|FL080|AL027|AL029
15547|36539|AL029|AL027|MS025
15555|36548|AL029|AL027|MS045
15556|36549|FL080|AL027|FL087
15559|36553|AL029|AL027|MS029
15564|36560|AL029|AL027|MS029
15565|36561|FL080|AL027|AL029
15570|36569|AL029|AL027|MS045
15571|36571|AL029|AL027|MS029
15572|36572|AL029|AL027|MS029
15491|36432|FL080|AL027|FL087
15487|36425|AL036|AL027|FL080
15566|36562|AL027|AL029|FL080
15567|36564|AL027|AL029|FL080
15553|36545|AL027|AL029|MS045
15557|36550|AL027|AL029|FL080
15558|36551|AL027|AL029|FL080
15548|36540|AL027|AL029|FL080
15542|36532|AL027|AL029|FL080
15543|36533|AL027|AL029|FL080
15537|36526|AL027|AL029|FL080
15538|36527|AL027|AL029|FL080
15535|36524|MS045|AL029|AL027
15497|36444|AL027|AL029|FL080
15520|36482|AL027|AL029|MS045
15518|36480|AL027|AL029|FL080
15526|36507|AL027|AL029|FL080
15575|36576|AL027|AL029|FL080
15576|36577|AL027|AL029|FL080
15577|36578|AL027|AL029|FL080
15578|36579|AL027|AL029|FL080
15629|36727|MS045|AL029|AL027
15562|36558|MS045|AL029|MS025
15563|36559|AL027|AL029|FL080
15546|36538|MS045|AL029|AL027
16963|39581|MS029|AL029|MS041
16887|39423|MS025|AL029|MS041
16903|39456|MS025|AL029|MS029
16907|39461|MS025|AL029|MS029
16916|39476|MS025|AL029|MS041
16942|39552|MS029|AL029|MS041
16944|39555|MS029|AL029|MS041
16949|39562|MS029|AL029|MS041
16950|39563|MS029|AL029|MS041
16954|39567|MS029|AL029|MS041
15637|36744|AL009|AL030|MS045
15646|36756|AL009|AL030|AL037
15667|36793|AL009|AL030|AL037
15665|36790|AL009|AL030|AL036
15311|36003|AL036|AL030|AL009
15313|36006|AL036|AL030|AL009
15314|36008|AL036|AL030|AL035
15349|36051|AL036|AL030|AL035
15374|36091|AL036|AL030|AL037
15111|35474|AL009|AL030|MS026
15113|35476|AL009|AL030|AL032
15115|35478|AL009|AL030|AL037
15119|35486|AL009|AL030|AL032
15120|35487|AL009|AL030|AL032
15121|35490|AL009|AL030|AL037
14967|35111|AL009|AL030|AL037
14973|35118|AL037|AL030|AL034
14987|35136|AL036|AL030|AL035
14981|35127|AL037|AL030|AL034
15027|35211|AL037|AL030|AL034
